timestamp,system_id,ac_power_kw,ac_energy_kwh,ac_voltage_v,ac_frequency_hz,power_factor
2024-06-01T00:00:00,SYS-001,0.0,0.0,218.1,49.991,0.964
2024-06-01T00:00:00,SYS-002,0.0,0.0,220.7,50.016,0.962
2024-06-01T00:00:00,SYS-003,0.0,0.0,218.1,49.989,0.97
2024-06-01T00:00:00,SYS-004,0.0,0.0,218.8,50.006,0.971
2024-06-01T01:00:00,SYS-001,0.0,0.0,220.4,50.012,0.96
2024-06-01T01:00:00,SYS-002,0.0,0.0,220.8,49.994,0.963
2024-06-01T01:00:00,SYS-003,0.0,0.0,219.3,49.984,0.962
2024-06-01T01:00:00,SYS-004,0.0,0.0,220.4,50.012,0.975
2024-06-01T02:00:00,SYS-001,0.0,0.0,221.9,49.995,0.971
2024-06-01T02:00:00,SYS-002,0.0,0.0,220.5,50.014,0.972
2024-06-01T02:00:00,SYS-003,0.0,0.0,218.2,49.989,0.966
2024-06-01T02:00:00,SYS-004,0.0,0.0,218.9,49.984,0.966
2024-06-01T03:00:00,SYS-001,0.0,0.0,219.5,49.995,0.964
2024-06-01T03:00:00,SYS-002,0.0,0.0,221.7,50.006,0.972
2024-06-01T03:00:00,SYS-003,0.0,0.0,220.9,49.987,0.968
2024-06-01T03:00:00,SYS-004,0.0,0.0,220.6,50.002,0.974
2024-06-01T04:00:00,SYS-001,0.0,0.0,221.1,49.989,0.961
2024-06-01T04:00:00,SYS-002,0.0,0.0,219.1,49.988,0.979
2024-06-01T04:00:00,SYS-003,0.0,0.0,219.3,50.006,0.968
2024-06-01T04:00:00,SYS-004,0.0,0.0,219.8,49.991,0.965
2024-06-01T05:00:00,SYS-001,0.0,0.0,219.1,50.003,0.978
2024-06-01T05:00:00,SYS-002,0.0,0.0,218.9,50.02,0.97
2024-06-01T05:00:00,SYS-003,0.0,0.0,218.2,49.984,0.973
2024-06-01T05:00:00,SYS-004,0.0,0.0,219.7,49.983,0.968
2024-06-01T06:00:00,SYS-001,0.0,0.0,220.1,50.019,0.977
2024-06-01T06:00:00,SYS-002,0.0,0.0,220.9,50.007,0.971
2024-06-01T06:00:00,SYS-003,0.0,0.0,220.6,49.984,0.969
2024-06-01T06:00:00,SYS-004,0.0,0.0,221.8,50.015,0.965
2024-06-01T07:00:00,SYS-001,117.67,117.67,221.7,50.015,0.966
2024-06-01T07:00:00,SYS-002,59.57,59.57,218.6,50.011,0.971
2024-06-01T07:00:00,SYS-003,77.18,77.18,218.0,49.993,0.96
2024-06-01T07:00:00,SYS-004,43.93,43.93,221.3,49.992,0.961
2024-06-01T08:00:00,SYS-001,235.09,235.09,218.3,49.999,0.961
2024-06-01T08:00:00,SYS-002,116.28,116.28,218.5,49.999,0.971
2024-06-01T08:00:00,SYS-003,143.35,143.35,219.7,49.988,0.971
2024-06-01T08:00:00,SYS-004,83.28,83.28,219.2,50.02,0.973
2024-06-01T09:00:00,SYS-001,320.42,320.42,218.5,49.989,0.967
2024-06-01T09:00:00,SYS-002,161.78,161.78,218.9,49.983,0.973
2024-06-01T09:00:00,SYS-003,202.17,202.17,221.4,49.983,0.965
2024-06-01T09:00:00,SYS-004,117.21,117.21,218.5,50.017,0.971
2024-06-01T10:00:00,SYS-001,394.06,394.06,221.2,49.988,0.962
2024-06-01T10:00:00,SYS-002,195.85,195.85,219.9,50.009,0.973
2024-06-01T10:00:00,SYS-003,261.83,261.83,219.6,49.994,0.977
2024-06-01T10:00:00,SYS-004,138.78,138.78,219.8,49.997,0.966
2024-06-01T11:00:00,SYS-001,431.96,431.96,219.8,50.014,0.971
2024-06-01T11:00:00,SYS-002,212.37,212.37,221.3,50.019,0.979
2024-06-01T11:00:00,SYS-003,289.09,289.09,219.9,49.989,0.968
2024-06-01T11:00:00,SYS-004,152.53,152.53,221.9,49.991,0.976
2024-06-01T12:00:00,SYS-001,453.54,453.54,221.8,50.02,0.971
2024-06-01T12:00:00,SYS-002,231.07,231.07,219.2,50.019,0.972
2024-06-01T12:00:00,SYS-003,293.0,293.0,218.2,50.003,0.97
2024-06-01T12:00:00,SYS-004,168.13,168.13,221.8,49.983,0.964
2024-06-01T13:00:00,SYS-001,443.57,443.57,218.9,49.985,0.978
2024-06-01T13:00:00,SYS-002,215.39,215.39,220.5,49.997,0.972
2024-06-01T13:00:00,SYS-003,282.85,282.85,218.8,50.009,0.965
2024-06-01T13:00:00,SYS-004,157.03,157.03,219.2,49.993,0.975
2024-06-01T14:00:00,SYS-001,380.78,380.78,222.0,50.02,0.961
2024-06-01T14:00:00,SYS-002,192.26,192.26,221.7,50.015,0.978
2024-06-01T14:00:00,SYS-003,249.5,249.5,221.3,50.008,0.972
2024-06-01T14:00:00,SYS-004,147.5,147.5,218.0,50.013,0.966
2024-06-01T15:00:00,SYS-001,326.92,326.92,218.5,49.985,0.962
2024-06-01T15:00:00,SYS-002,161.36,161.36,220.4,50.009,0.964
2024-06-01T15:00:00,SYS-003,208.19,208.19,220.0,50.016,0.977
2024-06-01T15:00:00,SYS-004,112.0,112.0,219.1,49.98,0.975
2024-06-01T16:00:00,SYS-001,229.9,229.9,221.0,50.002,0.969
2024-06-01T16:00:00,SYS-002,109.05,109.05,221.5,50.016,0.971
2024-06-01T16:00:00,SYS-003,149.79,149.79,218.6,49.985,0.966
2024-06-01T16:00:00,SYS-004,84.64,84.64,221.4,50.016,0.964
2024-06-01T17:00:00,SYS-001,115.26,115.26,221.1,50.015,0.968
2024-06-01T17:00:00,SYS-002,59.34,59.34,221.7,50.015,0.98
2024-06-01T17:00:00,SYS-003,77.51,77.51,218.1,50.009,0.967
2024-06-01T17:00:00,SYS-004,43.92,43.92,221.5,50.012,0.965
2024-06-01T18:00:00,SYS-001,0.0,0.0,218.4,50.015,0.977
2024-06-01T18:00:00,SYS-002,0.0,0.0,221.3,49.998,0.966
2024-06-01T18:00:00,SYS-003,0.0,0.0,218.9,49.981,0.964
2024-06-01T18:00:00,SYS-004,0.0,0.0,221.5,50.019,0.966
2024-06-01T19:00:00,SYS-001,0.0,0.0,219.6,50.019,0.971
2024-06-01T19:00:00,SYS-002,0.0,0.0,218.5,50.019,0.964
2024-06-01T19:00:00,SYS-003,0.0,0.0,219.1,49.984,0.969
2024-06-01T19:00:00,SYS-004,0.0,0.0,219.3,50.004,0.97
2024-06-01T20:00:00,SYS-001,0.0,0.0,220.3,49.99,0.974
2024-06-01T20:00:00,SYS-002,0.0,0.0,221.7,50.002,0.974
2024-06-01T20:00:00,SYS-003,0.0,0.0,220.7,49.995,0.961
2024-06-01T20:00:00,SYS-004,0.0,0.0,219.3,49.993,0.977
2024-06-01T21:00:00,SYS-001,0.0,0.0,219.2,49.992,0.968
2024-06-01T21:00:00,SYS-002,0.0,0.0,219.2,49.985,0.968
2024-06-01T21:00:00,SYS-003,0.0,0.0,220.7,50.016,0.972
2024-06-01T21:00:00,SYS-004,0.0,0.0,220.2,49.98,0.966
2024-06-01T22:00:00,SYS-001,0.0,0.0,220.3,50.006,0.969
2024-06-01T22:00:00,SYS-002,0.0,0.0,218.9,49.999,0.978
2024-06-01T22:00:00,SYS-003,0.0,0.0,218.7,49.983,0.97
2024-06-01T22:00:00,SYS-004,0.0,0.0,219.3,50.013,0.975
2024-06-01T23:00:00,SYS-001,0.0,0.0,218.9,49.988,0.96
2024-06-01T23:00:00,SYS-002,0.0,0.0,219.9,50.014,0.961
2024-06-01T23:00:00,SYS-003,0.0,0.0,220.5,49.988,0.974
2024-06-01T23:00:00,SYS-004,0.0,0.0,219.0,50.006,0.96
2024-06-02T00:00:00,SYS-001,0.0,0.0,221.1,49.984,0.969
2024-06-02T00:00:00,SYS-002,0.0,0.0,221.8,50.001,0.961
2024-06-02T00:00:00,SYS-003,0.0,0.0,221.4,49.998,0.976
2024-06-02T00:00:00,SYS-004,0.0,0.0,222.0,50.004,0.979
2024-06-02T01:00:00,SYS-001,0.0,0.0,220.5,50.009,0.97
2024-06-02T01:00:00,SYS-002,0.0,0.0,220.2,50.016,0.975
2024-06-02T01:00:00,SYS-003,0.0,0.0,219.0,49.99,0.973
2024-06-02T01:00:00,SYS-004,0.0,0.0,220.1,50.005,0.965
